Epoch: [0][580/5376], lr: 0.00500	Time 0.487 (0.537)	Data 0.000 (0.003)	Loss 4.9887 (5.1540)	Prec@1 0.000 (0.764)	Prec@5 6.250 (3.980)
Epoch: [0][600/5376], lr: 0.00500	Time 0.500 (0.536)	Data 0.000 (0.003)	Loss 5.2074 (5.1529)	Prec@1 0.000 (0.759)	Prec@5 0.000 (3.962)
Epoch: [0][620/5376], lr: 0.00500	Time 0.492 (0.535)	Data 0.000 (0.003)	Loss 5.1393 (5.1515)	Prec@1 0.000 (0.745)	Prec@5 0.000 (3.955)
Epoch: [0][640/5376], lr: 0.00500	Time 0.544 (0.534)	Data 0.000 (0.003)	Loss 5.0685 (5.1502)	Prec@1 0.000 (0.751)	Prec@5 0.000 (3.929)
Epoch: [0][660/5376], lr: 0.00500	Time 0.538 (0.533)	Data 0.000 (0.003)	Loss 5.0469 (5.1490)	Prec@1 0.000 (0.766)	Prec@5 0.000 (3.915)
Epoch: [0][680/5376], lr: 0.00500	Time 0.543 (0.533)	Data 0.000 (0.003)	Loss 5.1298 (5.1477)	Prec@1 6.250 (0.771)	Prec@5 6.250 (3.919)
Epoch: [0][700/5376], lr: 0.00500	Time 0.496 (0.532)	Data 0.000 (0.003)	Loss 5.0429 (5.1457)	Prec@1 6.250 (0.794)	Prec@5 18.750 (4.030)
Epoch: [0][720/5376], lr: 0.00500	Time 0.506 (0.531)	Data 0.000 (0.003)	Loss 5.1613 (5.1440)	Prec@1 0.000 (0.815)	Prec@5 0.000 (4.092)
Epoch: [0][740/5376], lr: 0.00500	Time 0.513 (0.531)	Data 0.000 (0.003)	Loss 5.0500 (5.1431)	Prec@1 0.000 (0.810)	Prec@5 0.000 (4.091)
Epoch: [0][760/5376], lr: 0.00500	Time 0.503 (0.530)	Data 0.000 (0.003)	Loss 5.0124 (5.1424)	Prec@1 0.000 (0.821)	Prec@5 0.000 (4.090)
Epoch: [0][780/5376], lr: 0.00500	Time 0.515 (0.530)	Data 0.000 (0.002)	Loss 5.2853 (5.1413)	Prec@1 6.250 (0.824)	Prec@5 6.250 (4.097)
Epoch: [0][800/5376], lr: 0.00500	Time 0.511 (0.529)	Data 0.000 (0.002)	Loss 4.8300 (5.1398)	Prec@1 0.000 (0.827)	Prec@5 6.250 (4.143)
Epoch: [0][820/5376], lr: 0.00500	Time 0.538 (0.529)	Data 0.000 (0.002)	Loss 5.1386 (5.1378)	Prec@1 6.250 (0.845)	Prec@5 6.250 (4.217)
Epoch: [0][840/5376], lr: 0.00500	Time 0.492 (0.528)	Data 0.000 (0.002)	Loss 5.0481 (5.1364)	Prec@1 0.000 (0.840)	Prec@5 6.250 (4.281)
Epoch: [0][860/5376], lr: 0.00500	Time 0.497 (0.528)	Data 0.000 (0.002)	Loss 4.7775 (5.1341)	Prec@1 0.000 (0.835)	Prec@5 6.250 (4.283)
Epoch: [0][880/5376], lr: 0.00500	Time 0.513 (0.527)	Data 0.000 (0.002)	Loss 5.1782 (5.1332)	Prec@1 0.000 (0.830)	Prec@5 6.250 (4.327)
Epoch: [0][900/5376], lr: 0.00500	Time 0.508 (0.526)	Data 0.000 (0.002)	Loss 5.1175 (5.1330)	Prec@1 0.000 (0.825)	Prec@5 0.000 (4.322)
Epoch: [0][920/5376], lr: 0.00500	Time 0.507 (0.526)	Data 0.000 (0.002)	Loss 5.2741 (5.1327)	Prec@1 0.000 (0.835)	Prec@5 0.000 (4.302)
Epoch: [0][940/5376], lr: 0.00500	Time 0.500 (0.526)	Data 0.000 (0.002)	Loss 4.9876 (5.1308)	Prec@1 6.250 (0.844)	Prec@5 6.250 (4.350)
Epoch: [0][960/5376], lr: 0.00500	Time 0.499 (0.525)	Data 0.000 (0.002)	Loss 5.2634 (5.1295)	Prec@1 0.000 (0.871)	Prec@5 0.000 (4.383)
Epoch: [0][980/5376], lr: 0.00500	Time 0.504 (0.525)	Data 0.000 (0.002)	Loss 4.9665 (5.1287)	Prec@1 0.000 (0.866)	Prec@5 18.750 (4.409)
Epoch: [0][1000/5376], lr: 0.00500	Time 0.495 (0.525)	Data 0.000 (0.002)	Loss 5.0831 (5.1274)	Prec@1 0.000 (0.874)	Prec@5 6.250 (4.421)
Epoch: [0][1020/5376], lr: 0.00500	Time 0.503 (0.524)	Data 0.000 (0.002)	Loss 5.0514 (5.1260)	Prec@1 0.000 (0.881)	Prec@5 0.000 (4.426)
Epoch: [0][1040/5376], lr: 0.00500	Time 0.485 (0.524)	Data 0.000 (0.002)	Loss 4.9904 (5.1248)	Prec@1 0.000 (0.871)	Prec@5 6.250 (4.437)
Epoch: [0][1060/5376], lr: 0.00500	Time 0.507 (0.524)	Data 0.000 (0.002)	Loss 5.0457 (5.1231)	Prec@1 0.000 (0.889)	Prec@5 6.250 (4.489)
Epoch: [0][1080/5376], lr: 0.00500	Time 0.505 (0.524)	Data 0.000 (0.002)	Loss 5.0450 (5.1218)	Prec@1 0.000 (0.885)	Prec@5 0.000 (4.498)
Epoch: [0][1100/5376], lr: 0.00500	Time 0.484 (0.523)	Data 0.000 (0.002)	Loss 5.1578 (5.1209)	Prec@1 0.000 (0.908)	Prec@5 6.250 (4.524)
